"No.","Time","Source","Destination","Protocol","Length","Info","RTT","ACK","Retransmisiones","Analisis RTO"
"1","2021-11-28 16:16:47,737023","fe80::a90a:4775:85a7:1889","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question","","","",""
"2","2021-11-28 16:16:47,745659","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question","","","",""
"3","2021-11-28 16:16:54,203394","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"4","2021-11-28 16:16:54,242029","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"5","2021-11-28 16:17:04,203597","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"6","2021-11-28 16:17:04,236771","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"7","2021-11-28 16:17:14,185954","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"8","2021-11-28 16:17:14,251344","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"9","2021-11-28 16:17:19,360947","c2:04:04:48:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Gateway  Port ID: FastEthernet0/0  ","","","",""
"10","2021-11-28 16:17:19,565443","c2:03:04:38:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Victima  Port ID: FastEthernet0/0  ","","","",""
"11","2021-11-28 16:17:24,193661","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"12","2021-11-28 16:17:24,223944","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"13","2021-11-28 16:17:34,306161","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"14","2021-11-28 16:17:34,910690","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"15","2021-11-28 16:17:35,779355","PcsCompu_63:b6:65","Broadcast","ARP","60","Who has 10.0.0.3? Tell 10.0.0.2","","","",""
"16","2021-11-28 16:17:35,786191","c2:03:04:38:00:00","PcsCompu_63:b6:65","ARP","60","10.0.0.3 is at c2:03:04:38:00:00","","","",""
"17","2021-11-28 16:17:44,241791","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"18","2021-11-28 16:17:44,647587","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"19","2021-11-28 16:17:51,738150","fe80::a90a:4775:85a7:1889","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question","","","",""
"20","2021-11-28 16:17:51,745955","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question","","","",""
"21","2021-11-28 16:17:54,247138","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"22","2021-11-28 16:17:54,343063","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"23","2021-11-28 16:18:04,206587","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"24","2021-11-28 16:18:04,227096","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"25","2021-11-28 16:18:14,192521","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"26","2021-11-28 16:18:14,231301","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"27","2021-11-28 16:18:19,474029","c2:04:04:48:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Gateway  Port ID: FastEthernet0/0  ","","","",""
"28","2021-11-28 16:18:19,633976","c2:03:04:38:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Victima  Port ID: FastEthernet0/0  ","","","",""
"29","2021-11-28 16:18:24,219090","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"30","2021-11-28 16:18:24,228851","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"31","2021-11-28 16:18:34,199455","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"32","2021-11-28 16:18:34,228975","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"33","2021-11-28 16:18:44,198676","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"34","2021-11-28 16:18:44,252436","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"35","2021-11-28 16:18:54,396570","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"36","2021-11-28 16:18:54,418169","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"37","2021-11-28 16:19:04,201834","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"38","2021-11-28 16:19:04,267000","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"39","2021-11-28 16:19:14,220637","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"40","2021-11-28 16:19:14,263626","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
"41","2021-11-28 16:19:19,368014","c2:04:04:48:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Gateway  Port ID: FastEthernet0/0  ","","","",""
"42","2021-11-28 16:19:19,575271","c2:03:04:38:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","357","Device ID: Victima  Port ID: FastEthernet0/0  ","","","",""
"43","2021-11-28 16:19:22,656457","10.0.0.2","10.0.0.255","NBNS","92","Name query NB WORKGROUP<1d>","","","",""
"44","2021-11-28 16:19:22,907389","10.0.0.2","10.0.0.255","NBNS","92","Name query NB WORKGROUP<1b>","","","",""
"45","2021-11-28 16:19:23,159216","10.0.0.2","10.0.0.255","NBNS","92","Name query NB WORKGROUP<20>","","","",""
"46","2021-11-28 16:19:23,530040","fe80::a90a:4775:85a7:1889","ff02::fb","MDNS","180","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question","","","",""
"47","2021-11-28 16:19:23,530040","10.0.0.2","224.0.0.251","MDNS","160","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question","","","",""
"48","2021-11-28 16:19:24,211650","c2:04:04:48:00:00","c2:04:04:48:00:00","LOOP","60","Reply","","","",""
"49","2021-11-28 16:19:24,277778","c2:03:04:38:00:00","c2:03:04:38:00:00","LOOP","60","Reply","","","",""
